songs_links,songs_title_author,songs_progressions
https://jazzomat.hfm-weimar.de/dbformat/synopsis/solo31.html,Angles - Bob Berg,"[['Abj7', 'Abj7', 'Abj7', 'Abj7', 'C-7', 'C-7', 'C-7', 'C-7', 'Db7', 'Db7', 'Db7', 'Db7', 'Eb7', 'Eb7', 'Eb7', 'Eb7'], ['Abj7', 'Abj7', 'Abj7', 'Abj7', 'C-7', 'C-7', 'C-7', 'C-7', 'Db7', 'Db7', 'Db7', 'Db7', 'Eb7', 'Eb7', 'Eb7', 'Eb7'], ['F-7', 'F-7', 'F-7', 'F-7', 'Db7911#', 'Db7911#', 'Db7911#', 'Db7911#', 'G79#', 'G79#', 'G79#', 'G79#', 'D7alt', 'D7alt', 'D7alt', 'D7alt']]"
https://jazzomat.hfm-weimar.de/dbformat/synopsis/solo159.html,Anthropology (No1) - Fats Navarro,"[['[Bbj7 G7]', '[C-7 F7]', '[D-7 G7]', '[C-7 F7]', '[F-7 Bb7]', '[Eb7 Eb-7]', '[D-7 G7]', '[C-7 F7]'], ['[Bbj7 G7]', '[C-7 F7]', '[D-7 G7]', '[C-7 F7]', '[F-7 Bb7]', '[Eb7 Eb-7]', '[C-7 F7]', 'Bb6'], ['D7', 'D7', 'G7', 'G7', 'C7', 'C7', 'F7', 'F7'], ['[Bbj7 G7]', '[C-7 F7]', '[D-7 G7]', '[C-7 F7]', '[F-7 Bb7]', '[Eb7 Eb-7]', '[C-7 F7]', 'Bb6']]"
https://jazzomat.hfm-weimar.de/dbformat/synopsis/solo1.html,Anthropology - Art Pepper,"[['[Bb6 G7]', '[C-7 F7]', '[Bb G-7]', '[C-7 F7]', '[F-7 Bb7]', '[Eb7 Ab7]', '[D-7 G7]', '[C-7 F7]'], ['[Bb6 G7]', '[C-7 F7]', '[Bb G-7]', '[C-7 F7]', '[F-7 Bb7]', '[Eb7 Ab7]', '[C-7 F7]', 'Bb6'], ['D7', 'D7', 'G7', 'G7', 'C7', 'C7', 'F7', 'F7'], ['[Bb G7]', '[C-7 F7]', '[Bb G-7]', '[C-7 F7]', '[F-7 Bb7]', '[Eb7 Ab7]', '[C-7 F7]', 'Bb6']]"
https://jazzomat.hfm-weimar.de/dbformat/synopsis/solo78.html,Anthropology - Chris Potter,"[['[Bb6 G7]', '[C-7 F7]', '[Bb6 G-7]', '[C-7 F7]', '[F-7 Bb7]', '[Eb7 Ab7]', '[D-7 G7]', '[C-7 F7]'], ['[Bb6 G7]', '[C-7 F7]', '[Bb6 G-7]', '[C-7 F7]', '[F-7 Bb7]', '[Eb7 Ab7]', '[C-7 F7]', 'Bb6'], ['D7', 'D7', 'G7', 'G7', 'C7', 'C7', 'F7', 'F7'], ['[Bb6 G7]', '[C-7 F7]', '[Bb6 G-7]', '[C-7 F7]', '[F-7 Bb7]', '[Eb7 Ab7]', '[C-7 F7]', 'Bb6']]"
https://jazzomat.hfm-weimar.de/dbformat/synopsis/solo133.html,Anthropology - Dizzy Gillespie,"[['[Bb6 G7]', '[C-7 F7]', '[Bb6 G-7]', '[C7 F7]', 'Bb7', '[Eb6 Eb-6]', '[D-7 G7]', '[C-7 F7]'], ['[Bb6 G7]', '[C-7 F7]', '[Bb6 G-7]', '[C7 F7]', 'Bb7', '[Eb6 Eb-6]', '[D-7 G7]', '[C-7 F7 Bb6]'], ['D7', 'D7', 'G7', 'G7', 'C7', 'C7', 'F7', 'F7'], ['[Bb6 G7]', '[C-7 F7]', '[Bb6 G-7]', '[C7 F7]', 'Bb7', '[Eb6 Eb-6]', '[D-7 G7]', '[C-7 F7]'], ['Bb6']]"
https://jazzomat.hfm-weimar.de/dbformat/synopsis/solo444.html,April in Paris - Wynton Marsalis,"[['[Dm7b5 Db7]', 'Cj7', '[Dm7b5 Ab7]', 'G7', 'Cj7', 'Cj7', 'G-7', 'C7'], ['Fj7', 'Fj7', '[Bm7b5 E7]', '[A-7 A-/G]', 'F#m7b5', 'B79b', '[B-7 E7]', '[Em7b5 A79b]'], ['[F#m7b5 Fo7]', '[C/E Ebo]', '[Dm7b5 G7]', 'C6', '[Bm7b5 E7]', '[A-7 A-/G]', '[F#m7b5 B79b]', '[Ej7 D-7 G7]'], ['[Dm7b5 G7]', 'Cj7', 'Em7b5', 'A7alt', 'D79', '[Dm7b5 G7]', 'C6', 'C6']]"
https://jazzomat.hfm-weimar.de/dbformat/synopsis/solo79.html,Arjuna - Chris Potter,[['D']]
https://jazzomat.hfm-weimar.de/dbformat/synopsis/solo115.html,Ask Me Now - David Murray,"[['Eb-7', 'Ab', 'Dbj7', '[F-7 E-7]', 'Eb-7', 'Ab7', 'Dbj7', 'Dbj7', 'Bb-7', 'Eb7', 'Eb7', 'Bb-7', 'Eb-7', 'Ab7', 'Db-7', 'Gb7'], ['[G-7 C7]', '[F#-7 B7]', '[F-7 Bb7]', '[E-7 A7]', 'Eb-7', 'Ab7', 'B7alt', 'Bb7', 'Eb7', 'D7', 'Dbj7', 'Eb7', 'Eb-7', 'Ab7', 'Db', 'Db']]"
https://jazzomat.hfm-weimar.de/dbformat/synopsis/solo414.html,Ask Me Now - Steve Lacy,"[['[G-7 C7 F#-7 B7]', '[F-7 Bb7 E-7 A7]', '[Eb-7 Ab7]', '[B7 Bb7]', '[Eb7 D7]', '[Dbj7 Eb7]', '[Eb-7 Ab7]', '[F-7 E7 Eb-7 D7]'], ['[G-7 C7 F#-7 B7]', '[F-7 Bb7 E-7 A7]', '[Eb-7 Ab7]', '[B7 Bb7]', '[Eb7 D7]', '[Dbj7 Eb7]', '[Eb-7 Ab7]', 'Db'], ['[Eb-7 Ab]', '[Dbj7 E-7]', '[Eb-7 Ab7]', 'Dbj7', '[Bb-7 Eb7]', '[Eb7 Bb-7]', '[Eb-7 Ab7]', '[Db-7 Gb7]'], ['[G-7 C7 F#-7 B7]', '[F-7 Bb7 E-7 A7]', '[Eb-7 Ab7]', '[B7 Bb7]', '[Eb7 D7]', '[Dbj7 Eb7]', '[Eb-7 Ab7]', 'Db']]"
https://jazzomat.hfm-weimar.de/dbformat/synopsis/solo14.html,Avalon - Benny Goodman,"[['Bb7', 'Bb7', 'Bb7', 'Bb7', 'Eb', 'Eb', 'Eb', 'Eb', 'Bb7', 'Bb7', 'Bb7', 'Bb7', 'Eb', 'Eb', 'Eb', 'Eb'], ['C7', 'C7', 'C7', 'C7', 'F-7', 'F-7', 'Ab-7', 'Ab-7', 'Eb', 'Eb', 'C7', 'C7', 'F-7', 'Bb7', 'Eb', 'Eb']]"
https://jazzomat.hfm-weimar.de/dbformat/synopsis/solo285.html,Avalon - Lionel Hampton,"[['Ab7', 'Ab7', 'Ab7', 'Ab7', 'Eb6', 'Eb6', 'Eb6', 'Eb6', 'Ab7', 'Ab7', 'Ab7', 'Ab7', 'Eb6', 'Eb6', 'Eb6', 'Eb6'], ['C7', 'C7', 'C7', 'C7', 'F-7', 'F-7', 'Ab-7', 'Db7', 'Eb6', 'Eb6', 'C7', 'C7', 'F-7', 'B7', 'Eb6', 'Eb6'], ['Ab7']]"
https://jazzomat.hfm-weimar.de/dbformat/synopsis/solo183.html,Baby Won't You Please Come Home - Henry Allen,"[['[Bb D7]', 'G7', 'C7', 'C7', '[F7 F#o]', 'G-', 'C7', 'F7'], ['[Bb D7]', 'G7', '[C- Eb]', 'D7', '[Eb Eo]', '[Bb G7]', '[C7 F7]', '[Bb G7]', '[C- F7]', 'Bb']]"
https://jazzomat.hfm-weimar.de/dbformat/synopsis/solo189.html,Baby Won't You Please Come Home - J.C. Higginbotham,"[['[Bb D7]', 'G7', 'C7', 'C7', '[F7 F#o]', 'G-', 'C7', 'F7'], ['[Bb D7]', 'G7', '[C- Eb]', 'D7', '[Eb Eo]', '[Bb G7]', '[C7 F7]', '[Bb G7]', '[C- F7]', 'Bb']]"
https://jazzomat.hfm-weimar.de/dbformat/synopsis/solo373.html,Baby Won't You Please Come Home - Sidney Bechet,"[['[Bb D7]', 'G7', 'C7', 'C7', '[F7 F#o]', 'G-', 'C7', 'F7'], ['[Bb D7]', 'G7', '[C- Eb]', 'D7', '[Eb Eo]', '[Bb G7]', '[C7 F7]', '[Bb G7]', '[C7 F7]', 'Bb'], ['Bb']]"
https://jazzomat.hfm-weimar.de/dbformat/synopsis/solo329.html,Bag's Groove - Milt Jackson,"[['F7', 'Bb7', 'F7', 'F7', 'Bb7', 'Bb7', 'F7', 'F7', 'G-7', 'C7', 'F7', 'C7']]"
https://jazzomat.hfm-weimar.de/dbformat/synopsis/solo291.html,Basin Street Blues - Louis Armstrong,"[['Bb', 'D7', 'G7', 'G7', 'C7', 'F7', '[Bb Bbo]', '[C-7 F7]']]"
https://jazzomat.hfm-weimar.de/dbformat/synopsis/solo359.html,Be My Love - Phil Woods,"[['Fj7', 'Fj7', 'Em7b5', 'A79b', 'D-7', 'Bm7b5', 'E7', 'A7'], ['D7', 'G-7', 'Abo7', 'A-7', 'D-7', 'G7', 'G-7', 'C7'], ['Fj7', 'Fj7', 'Em7b5', 'A79b', 'D-7', 'Bm7b5', 'E7', 'A7'], ['D7', 'G-7', '[Abo7 A-7]', 'D-7', 'G-7', 'C7', 'Eb7', 'D7', 'G-7', 'C7', 'Fj7', '[G-7 C7]']]"
https://jazzomat.hfm-weimar.de/dbformat/synopsis/solo134.html,Be-Bop - Dizzy Gillespie,"[['[F- Gm7b5]', '[F- Bb-6]', 'F-', '[Gm7b5 C79b]', '[F- Gm7b5]', '[F- Bb-6]', 'F-', '[C7 F-]'], ['[F- Gm7b5]', '[F- Bb-6]', 'F-', '[Gm7b5 C79b]', '[F- Gm7b5]', '[F- Bb-6]', 'F-', '[C7 F-]'], ['F-7', 'Bb79#', 'Ebj7', 'Ebj7', 'Eb-7', 'Ab79#', 'Dbj7', '[Gm7b5 C79#]'], ['[F- Gm7b5]', '[F- Bb-6]', 'F-', '[Gm7b5 C79b]', '[F- Gm7b5]', '[F- Bb-6]', 'F-', '[C7 F-]']]"
https://jazzomat.hfm-weimar.de/dbformat/synopsis/solo139.html,Be-Bop - Don Byas,"[['[F- Gm7b5]', '[F-/Ab Bb-6]', 'F-/C', '[Gm7b5 C7]', '[F- Gm7b5]', '[F-/Ab Bb-6]', 'F-/C', '[Gm7b5 F-]'], ['[F-7 Gm7b5]', '[F-/Ab Bb-6]', 'F-/C', '[Gm7b5 C7]', '[F- Gm7b5]', '[F-/Ab Bb-6]', 'F-/C', '[Gm7b5 F-]'], ['F-7', 'Bb79#', 'Ebj7', 'Ebj7', 'Eb-7', 'Ab79#', 'Dbj7', '[Gm7b5 C79b]'], ['[F-7 Gm7b5]', '[F-/Ab Bb-6]', 'F-/C', '[Gm7b5 C7]', '[F- Gm7b5]', '[F-/Ab Bb-6]', 'F-/C', '[C7 F-]']]"
https://jazzomat.hfm-weimar.de/dbformat/synopsis/solo104.html,Begin the Beguine - David Liebman,"[['Gbj79', 'Abj79', 'Bbj79', 'Bbj79', 'Gbj79', 'Abj79', 'Bbj79', 'Bbj79', 'Gbj79', 'Abj79', 'Bbj79', 'Bbj79', 'Gbj79', 'Abj79', 'Bbj79', 'Bbj79', 'Gbj79', 'Abj79', 'Bbj79', 'Bbj79', 'Gbj79', 'Abj79', 'Bbj79', 'Bbj79', 'Gbj79', 'Abj79', 'Bbj79', 'Bbj79', 'Gbj79', 'Abj79', 'Bbj79', 'Bbj79', 'Gbj79', 'Abj79']]"
https://jazzomat.hfm-weimar.de/dbformat/synopsis/solo330.html,Bemsha Swing - Milt Jackson,"[['[Cj7 A-7]', '[Abj7 Db7]', '[Cj7 Eb7]', '[D7 Db7]', '[Cj7 A-7]', '[Abj7 Db7]', '[Cj7 Bb7]', '[Ab7 Gb7]'], ['[Fj7 D-7]', '[Dbj7 Gb7]', '[Fj7 Ab7]', '[G7 Db7]', '[Cj7 A-7]', '[Abj7 Db7]', '[Cj7 Bb7]', '[Ab7 G7]']]"
https://jazzomat.hfm-weimar.de/dbformat/synopsis/solo216.html,Bessie's Blues - John Coltrane,"[['Eb7', 'Ab7', 'Eb7', 'Eb7', 'Ab7', 'Ab7', 'Eb7', 'Eb7', 'Bb7', 'Ab7', 'Eb7', 'Eb7']]"
https://jazzomat.hfm-weimar.de/dbformat/synopsis/solo292.html,Big Butter and Egg Man - Louis Armstrong,"[['G', 'G', 'A7', 'A7', 'D7', 'D7', 'G', '[G D7]'], ['G', 'Go', 'A-', 'D7', 'D7', 'D7', 'G', 'G'], ['G7', 'G7', 'C', 'C', 'E7', 'E7', 'A7', 'D7'], ['G', 'G', 'A7', 'A7', 'A-7', 'D7', 'G', 'G'], ['G', 'G']]"
https://jazzomat.hfm-weimar.de/dbformat/synopsis/solo52.html,Billie's Bounce - Charlie Parker,"[['F7', 'Bb7', 'F7', 'F7', 'Bb7', 'Bb7', 'F7', '[A-7 D7]', 'G-', 'C7', 'F7', 'C7']]"
https://jazzomat.hfm-weimar.de/dbformat/synopsis/solo336.html,Bird Food - Ornette Coleman,[['[ ~]']]
